,Title,Actor,Metascore
60,The Secret Life of Pets,Louis C.K.,61.0
61,The Secret Life of Pets,Eric Stonestreet,61.0
62,The Secret Life of Pets,Kevin Hart,61.0
63,The Secret Life of Pets,Lake Bell,61.0
64,Hacksaw Ridge,Andrew Garfield,71.0
65,Hacksaw Ridge,Sam Worthington,71.0
66,Hacksaw Ridge,Luke Bracey,71.0
67,Hacksaw Ridge,Teresa Palmer,71.0
68,Jason Bourne,Matt Damon,58.0
69,Jason Bourne,Tommy Lee Jones,58.0
70,Jason Bourne,Alicia Vikander,58.0
71,Jason Bourne,Vincent Cassel,58.0
72,Lion,Dev Patel,69.0
73,Lion,Nicole Kidman,69.0
74,Lion,Rooney Mara,69.0
75,Lion,Sunny Pawar,69.0
76,Arrival,Amy Adams,81.0
77,Arrival,Jeremy Renner,81.0
78,Arrival,Forest Whitaker,81.0
79,Arrival,Michael Stuhlbarg,81.0
80,Gold,Matthew McConaughey,49.0
81,Gold,Edgar Ramírez,49.0
82,Gold,Bryce Dallas Howard,49.0
83,Gold,Corey Stoll,49.0
84,Manchester by the Sea,Casey Affleck,96.0
85,Manchester by the Sea,Michelle Williams,96.0
86,Manchester by the Sea,Kyle Chandler,96.0
87,Manchester by the Sea,Lucas Hedges,96.0
88,Hounds of Love,Emma Booth,72.0
89,Hounds of Love,Ashleigh Cummings,72.0
90,Hounds of Love,Stephen Curry,72.0
91,Hounds of Love,Susie Porter,72.0
92,Trolls,Anna Kendrick,56.0
93,Trolls,Justin Timberlake,56.0
94,Trolls,Zooey Deschanel,56.0
95,Trolls,Christopher Mintz-Plasse,56.0
96,Independence Day: Resurgence,Liam Hemsworth,32.0
97,Independence Day: Resurgence,Jeff Goldblum,32.0
98,Independence Day: Resurgence,Bill Pullman,32.0
99,Independence Day: Resurgence,Maika Monroe,32.0
100,Paris pieds nus,Fiona Gordon,
101,Paris pieds nus,Dominique Abel,
102,Paris pieds nus,Emmanuelle Riva,
103,Paris pieds nus,Pierre Richard,
104,Bahubali: The Beginning,Prabhas,
105,Bahubali: The Beginning,Rana Daggubati,
106,Bahubali: The Beginning,Anushka Shetty,
107,Bahubali: The Beginning,Tamannaah Bhatia,
108,Dead Awake,Jocelin Donahue,
109,Dead Awake,Jesse Bradford,
110,Dead Awake,Jesse Borrego,
111,Dead Awake,Lori Petty,
112,Bad Moms,Mila Kunis,60.0
113,Bad Moms,Kathryn Hahn,60.0
114,Bad Moms,Kristen Bell,60.0
115,Bad Moms,Christina Applegate,60.0
116,Assassin's Creed,Michael Fassbender,36.0
117,Assassin's Creed,Marion Cotillard,36.0
118,Assassin's Creed,Jeremy Irons,36.0
119,Assassin's Creed,Brendan Gleeson,36.0
120,Why Him?,Zoey Deutch,39.0
121,Why Him?,James Franco,39.0
122,Why Him?,Tangie Ambrose,39.0
123,Why Him?,Cedric the Entertainer,39.0
124,Nocturnal Animals,Amy Adams,67.0
125,Nocturnal Animals,Jake Gyllenhaal,67.0
126,Nocturnal Animals,Michael Shannon,67.0
127,Nocturnal Animals,Aaron Taylor-Johnson,67.0
128,X-Men: Apocalypse,James McAvoy,52.0
129,X-Men: Apocalypse,Michael Fassbender,52.0
130,X-Men: Apocalypse,Jennifer Lawrence,52.0
131,X-Men: Apocalypse,Nicholas Hoult,52.0
132,Deadpool,Ryan Reynolds,65.0
133,Deadpool,Morena Baccarin,65.0
134,Deadpool,T.J. Miller,65.0
135,Deadpool,Ed Skrein,65.0
136,Resident Evil: The Final Chapter,Milla Jovovich,49.0
137,Resident Evil: The Final Chapter,Iain Glen,49.0
138,Resident Evil: The Final Chapter,Ali Larter,49.0
139,Resident Evil: The Final Chapter,Shawn Roberts,49.0
140,Captain America: Civil War,Chris Evans,75.0
141,Captain America: Civil War,Robert Downey Jr.,75.0
142,Captain America: Civil War,Scarlett Johansson,75.0
143,Captain America: Civil War,Sebastian Stan,75.0
144,Interstellar,Matthew McConaughey,74.0
145,Interstellar,Anne Hathaway,74.0
146,Interstellar,Jessica Chastain,74.0
147,Interstellar,Mackenzie Foy,74.0
148,Doctor Strange,Benedict Cumberbatch,72.0
149,Doctor Strange,Chiwetel Ejiofor,72.0
150,Doctor Strange,Rachel McAdams,72.0
151,Doctor Strange,Benedict Wong,72.0
152,The Magnificent Seven,Denzel Washington,54.0
153,The Magnificent Seven,Chris Pratt,54.0
154,The Magnificent Seven,Ethan Hawke,54.0
155,The Magnificent Seven,Vincent D'Onofrio,54.0
156,5- 25- 77,John Francis Daley,
157,5- 25- 77,Austin Pendleton,
158,5- 25- 77,Colleen Camp,
159,5- 25- 77,Neil Flynn,
160,Sausage Party,Seth Rogen,66.0
161,Sausage Party,Kristen Wiig,66.0
162,Sausage Party,Jonah Hill,66.0
163,Sausage Party,Alistair Abell,66.0
164,Moonlight,Mahershala Ali,99.0
165,Moonlight,Shariff Earp,99.0
166,Moonlight,Duan Sanderson,99.0
167,Moonlight,Alex R. Hibbert,99.0
168,Don't Fuck in the Woods,Brittany Blanton,
169,Don't Fuck in the Woods,Ayse Howard,
170,Don't Fuck in the Woods,Roman Jossart,
171,Don't Fuck in the Woods,Nadia White,
172,The Founder,Michael Keaton,66.0
173,The Founder,Nick Offerman,66.0
174,The Founder,John Carroll Lynch,66.0
175,The Founder,Linda Cardellini,66.0
176,Lowriders,Gabriel Chavarria,57.0
177,Lowriders,Demián Bichir,57.0
178,Lowriders,Theo Rossi,57.0
179,Lowriders,Tony Revolori,57.0
180,Pirates of the Caribbean: On Stranger Tides,Johnny Depp,45.0
181,Pirates of the Caribbean: On Stranger Tides,Penélope Cruz,45.0
182,Pirates of the Caribbean: On Stranger Tides,Ian McShane,45.0
183,Pirates of the Caribbean: On Stranger Tides,Geoffrey Rush,45.0
184,Miss Sloane,Jessica Chastain,64.0
185,Miss Sloane,Mark Strong,64.0
186,Miss Sloane,Gugu Mbatha-Raw,64.0
187,Miss Sloane,Michael Stuhlbarg,64.0
188,Fallen,Hermione Corfield,
189,Fallen,Addison Timlin,
190,Fallen,Joely Richardson,
191,Fallen,Jeremy Irvine,
192,Star Trek Beyond,Chris Pine,68.0
193,Star Trek Beyond,Zachary Quinto,68.0
194,Star Trek Beyond,Karl Urban,68.0
195,Star Trek Beyond,Zoe Saldana,68.0
196,The Last Face,Charlize Theron,16.0
197,The Last Face,Javier Bardem,16.0
198,The Last Face,Adèle Exarchopoulos,16.0
199,The Last Face,Jared Harris,16.0
200,Star Wars: Episode VII - The Force Awakens,Daisy Ridley,81.0
201,Star Wars: Episode VII - The Force Awakens,John Boyega,81.0
202,Star Wars: Episode VII - The Force Awakens,Oscar Isaac,81.0
203,Star Wars: Episode VII - The Force Awakens,Domhnall Gleeson,81.0
204,Underworld: Blood Wars,Kate Beckinsale,23.0
205,Underworld: Blood Wars,Theo James,23.0
206,Underworld: Blood Wars,Tobias Menzies,23.0
207,Underworld: Blood Wars,Lara Pulver,23.0
208,Mother's Day,Jennifer Aniston,18.0
209,Mother's Day,Kate Hudson,18.0
210,Mother's Day,Julia Roberts,18.0
211,Mother's Day,Jason Sudeikis,18.0
212,John Wick,Keanu Reeves,68.0
213,John Wick,Michael Nyqvist,68.0
214,John Wick,Alfie Allen,68.0
215,John Wick,Willem Dafoe,68.0
216,The Dark Knight,Christian Bale,82.0
217,The Dark Knight,Heath Ledger,82.0
218,The Dark Knight,Aaron Eckhart,82.0
219,The Dark Knight,Michael Caine,82.0
220,Silence,Andrew Garfield,79.0
221,Silence,Adam Driver,79.0
222,Silence,Liam Neeson,79.0
223,Silence,Tadanobu Asano,79.0
224,Don't Breathe,Stephen Lang,71.0
225,Don't Breathe,Jane Levy,71.0
226,Don't Breathe,Dylan Minnette,71.0
227,Don't Breathe,Daniel Zovatto,71.0
228,Me Before You,Emilia Clarke,51.0
229,Me Before You,Sam Claflin,51.0
230,Me Before You,Janet McTeer,51.0
231,Me Before You,Charles Dance,51.0
232,Their Finest,Gemma Arterton,76.0
233,Their Finest,Sam Claflin,76.0
234,Their Finest,Bill Nighy,76.0
235,Their Finest,Jack Huston,76.0
236,Sully,Tom Hanks,74.0
237,Sully,Aaron Eckhart,74.0
238,Sully,Laura Linney,74.0
239,Sully,Valerie Mahaffey,74.0
240,Batman v Superman: Dawn of Justice,Ben Affleck,44.0
241,Batman v Superman: Dawn of Justice,Henry Cavill,44.0
242,Batman v Superman: Dawn of Justice,Amy Adams,44.0
243,Batman v Superman: Dawn of Justice,Jesse Eisenberg,44.0
244,The Autopsy of Jane Doe,Brian Cox,65.0
245,The Autopsy of Jane Doe,Emile Hirsch,65.0
246,The Autopsy of Jane Doe,Ophelia Lovibond,65.0
247,The Autopsy of Jane Doe,Michael McElhatton,65.0
248,The Girl on the Train,Emily Blunt,48.0
249,The Girl on the Train,Haley Bennett,48.0
250,The Girl on the Train,Rebecca Ferguson,48.0
251,The Girl on the Train,Justin Theroux,48.0
252,Fifty Shades of Grey,Dakota Johnson,46.0
253,Fifty Shades of Grey,Jamie Dornan,46.0
254,Fifty Shades of Grey,Jennifer Ehle,46.0
255,Fifty Shades of Grey,Eloise Mumford,46.0
256,The Prestige,Christian Bale,66.0
257,The Prestige,Hugh Jackman,66.0
258,The Prestige,Scarlett Johansson,66.0
259,The Prestige,Michael Caine,66.0
260,Kingsman: The Secret Service,Colin Firth,58.0
261,Kingsman: The Secret Service,Taron Egerton,58.0
262,Kingsman: The Secret Service,Samuel L. Jackson,58.0
263,Kingsman: The Secret Service,Michael Caine,58.0
264,Patriots Day,Mark Wahlberg,69.0
265,Patriots Day,Michelle Monaghan,69.0
266,Patriots Day,J.K. Simmons,69.0
267,Patriots Day,John Goodman,69.0
268,Mad Max: Fury Road,Tom Hardy,90.0
269,Mad Max: Fury Road,Charlize Theron,90.0
270,Mad Max: Fury Road,Nicholas Hoult,90.0
271,Mad Max: Fury Road,Zoë Kravitz,90.0
272,Wakefield,Bryan Cranston,61.0
273,Wakefield,Jennifer Garner,61.0
274,Wakefield,Beverly D'Angelo,61.0
275,Wakefield,Jason O'Mara,61.0
276,Deepwater Horizon,Mark Wahlberg,68.0
277,Deepwater Horizon,Kurt Russell,68.0
278,Deepwater Horizon,Douglas M. Griffin,68.0
279,Deepwater Horizon,James DuMont,68.0
280,The Promise,Oscar Isaac,49.0
281,The Promise,Charlotte Le Bon,49.0
282,The Promise,Christian Bale,49.0
283,The Promise,Daniel Giménez Cacho,49.0
284,Allied,Brad Pitt,60.0
285,Allied,Marion Cotillard,60.0
286,Allied,Jared Harris,60.0
287,Allied,Vincent Ebrahim,60.0
288,A Monster Calls,Lewis MacDougall,76.0
289,A Monster Calls,Sigourney Weaver,76.0
290,A Monster Calls,Felicity Jones,76.0
291,A Monster Calls,Toby Kebbell,76.0
292,Collateral Beauty,Will Smith,23.0
293,Collateral Beauty,Edward Norton,23.0
294,Collateral Beauty,Kate Winslet,23.0
295,Collateral Beauty,Michael Peña,23.0
296,Zootopia,Ginnifer Goodwin,78.0
297,Zootopia,Jason Bateman,78.0
298,Zootopia,Idris Elba,78.0
299,Zootopia,Jenny Slate,78.0
300,Pirates of the Caribbean: At World's End,Johnny Depp,50.0
301,Pirates of the Caribbean: At World's End,Orlando Bloom,50.0
302,Pirates of the Caribbean: At World's End,Keira Knightley,50.0
303,Pirates of the Caribbean: At World's End,Geoffrey Rush,50.0
304,The Avengers,Robert Downey Jr.,69.0
305,The Avengers,Chris Evans,69.0
306,The Avengers,Scarlett Johansson,69.0
307,The Avengers,Jeremy Renner,69.0
308,Inglourious Basterds,Brad Pitt,69.0
309,Inglourious Basterds,Diane Kruger,69.0
310,Inglourious Basterds,Eli Roth,69.0
311,Inglourious Basterds,Mélanie Laurent,69.0
312,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,53.0
313,Pirates of the Caribbean: Dead Man's Chest,Orlando Bloom,53.0
314,Pirates of the Caribbean: Dead Man's Chest,Keira Knightley,53.0
315,Pirates of the Caribbean: Dead Man's Chest,Jack Davenport,53.0
316,Ghostbusters,Melissa McCarthy,60.0
317,Ghostbusters,Kristen Wiig,60.0
318,Ghostbusters,Kate McKinnon,60.0
319,Ghostbusters,Leslie Jones,60.0
320,Inception,Leonardo DiCaprio,74.0
321,Inception,Joseph Gordon-Levitt,74.0
322,Inception,Ellen Page,74.0
323,Inception,Ken Watanabe,74.0
324,Captain Fantastic,Viggo Mortensen,72.0
325,Captain Fantastic,George MacKay,72.0
326,Captain Fantastic,Samantha Isler,72.0
327,Captain Fantastic,Annalise Basso,72.0
328,The Wolf of Wall Street,Leonardo DiCaprio,75.0
329,The Wolf of Wall Street,Jonah Hill,75.0
330,The Wolf of Wall Street,Margot Robbie,75.0
331,The Wolf of Wall Street,Matthew McConaughey,75.0
332,Gone Girl,Ben Affleck,79.0
333,Gone Girl,Rosamund Pike,79.0
334,Gone Girl,Neil Patrick Harris,79.0
335,Gone Girl,Tyler Perry,79.0
336,Furious Seven,Vin Diesel,67.0
337,Furious Seven,Paul Walker,67.0
338,Furious Seven,Dwayne Johnson,67.0
339,Furious Seven,Jason Statham,67.0
340,Jurassic World,Chris Pratt,59.0
341,Jurassic World,Bryce Dallas Howard,59.0
342,Jurassic World,Ty Simpkins,59.0
343,Jurassic World,Judy Greer,59.0
344,Live by Night,Ben Affleck,49.0
345,Live by Night,Elle Fanning,49.0
346,Live by Night,Brendan Gleeson,49.0
347,Live by Night,Chris Messina,49.0
348,Avatar,Sam Worthington,83.0
349,Avatar,Zoe Saldana,83.0
350,Avatar,Sigourney Weaver,83.0
351,Avatar,Michelle Rodriguez,83.0
352,The Hateful Eight,Samuel L. Jackson,68.0
353,The Hateful Eight,Kurt Russell,68.0
354,The Hateful Eight,Jennifer Jason Leigh,68.0
355,The Hateful Eight,Walton Goggins,68.0
356,The Accountant,Ben Affleck,51.0
357,The Accountant,Anna Kendrick,51.0
358,The Accountant,J.K. Simmons,51.0
359,The Accountant,Jon Bernthal,51.0
360,Prisoners,Hugh Jackman,74.0
361,Prisoners,Jake Gyllenhaal,74.0
362,Prisoners,Viola Davis,74.0
363,Prisoners,Melissa Leo,74.0
364,Warcraft,Travis Fimmel,32.0
365,Warcraft,Paula Patton,32.0
366,Warcraft,Ben Foster,32.0
367,Warcraft,Dominic Cooper,32.0
368,The Help,Emma Stone,62.0
369,The Help,Viola Davis,62.0
370,The Help,Octavia Spencer,62.0
371,The Help,Bryce Dallas Howard,62.0
372,War Dogs,Jonah Hill,57.0
373,War Dogs,Miles Teller,57.0
374,War Dogs,Steve Lantz,57.0
375,War Dogs,Gregg Weiner,57.0
376,Avengers: Age of Ultron,Robert Downey Jr.,66.0
377,Avengers: Age of Ultron,Chris Evans,66.0
378,Avengers: Age of Ultron,Mark Ruffalo,66.0
379,Avengers: Age of Ultron,Chris Hemsworth,66.0
380,The Nice Guys,Russell Crowe,70.0
381,The Nice Guys,Ryan Gosling,70.0
382,The Nice Guys,Angourie Rice,70.0
383,The Nice Guys,Matt Bomer,70.0
384,Kimi no na wa,Ryûnosuke Kamiki,79.0
385,Kimi no na wa,Mone Kamishiraishi,79.0
386,Kimi no na wa,Ryô Narita,79.0
387,Kimi no na wa,Aoi Yuki,79.0
388,The Void,Aaron Poole,62.0
389,The Void,Kenneth Welsh,62.0
390,The Void,Daniel Fathers,62.0
391,The Void,Kathleen Munroe,62.0
392,Personal Shopper,Kristen Stewart,77.0
393,Personal Shopper,Lars Eidinger,77.0
394,Personal Shopper,Sigrid Bouaziz,77.0
395,Personal Shopper,Anders Danielsen Lie,77.0
396,The Departed,Leonardo DiCaprio,85.0
397,The Departed,Matt Damon,85.0
398,The Departed,Jack Nicholson,85.0
399,The Departed,Mark Wahlberg,85.0
400,Legend,Tom Hardy,55.0
401,Legend,Emily Browning,55.0
402,Legend,Taron Egerton,55.0
403,Legend,Paul Anderson,55.0
404,Thor,Chris Hemsworth,57.0
405,Thor,Anthony Hopkins,57.0
406,Thor,Natalie Portman,57.0
407,Thor,Tom Hiddleston,57.0
408,The Martian,Matt Damon,80.0
409,The Martian,Jessica Chastain,80.0
410,The Martian,Kristen Wiig,80.0
411,The Martian,Kate Mara,80.0
412,Contratiempo,Mario Casas,
413,Contratiempo,Ana Wagener,
414,Contratiempo,José Coronado,
415,Contratiempo,Bárbara Lennie,
416,The Man from U.N.C.L.E.,Henry Cavill,56.0
417,The Man from U.N.C.L.E.,Armie Hammer,56.0
418,The Man from U.N.C.L.E.,Alicia Vikander,56.0
419,The Man from U.N.C.L.E.,Elizabeth Debicki,56.0
420,Hell or High Water,Chris Pine,88.0
421,Hell or High Water,Ben Foster,88.0
422,Hell or High Water,Jeff Bridges,88.0
423,Hell or High Water,Gil Birmingham,88.0
424,The Comedian,Robert De Niro,40.0
425,The Comedian,Leslie Mann,40.0
426,The Comedian,Danny DeVito,40.0
427,The Comedian,Edie Falco,40.0
428,The Legend of Tarzan,Alexander Skarsgård,44.0
429,The Legend of Tarzan,Rory J. Saper,44.0
430,The Legend of Tarzan,Christian Stevens,44.0
431,The Legend of Tarzan,Christoph Waltz,44.0
432,All We Had,Eve Lindley,48.0
433,All We Had,Richard Kind,48.0
434,All We Had,Mark Consuelos,48.0
435,All We Had,Katherine Reis,48.0
436,Ex Machina,Alicia Vikander,78.0
437,Ex Machina,Domhnall Gleeson,78.0
438,Ex Machina,Oscar Isaac,78.0
439,Ex Machina,Sonoya Mizuno,78.0
440,The Belko Experiment,John Gallagher Jr.,44.0
441,The Belko Experiment,Tony Goldwyn,44.0
442,The Belko Experiment,Adria Arjona,44.0
443,The Belko Experiment,John C. McGinley,44.0
444,12 Years a Slave,Chiwetel Ejiofor,96.0
445,12 Years a Slave,Michael Kenneth Williams,96.0
446,12 Years a Slave,Michael Fassbender,96.0
447,12 Years a Slave,Brad Pitt,96.0
448,The Bad Batch,Keanu Reeves,65.0
449,The Bad Batch,Jason Momoa,65.0
450,The Bad Batch,Jim Carrey,65.0
451,The Bad Batch,Diego Luna,65.0
452,300,Gerard Butler,52.0
453,300,Lena Headey,52.0
454,300,David Wenham,52.0
455,300,Dominic West,52.0
456,Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe,87.0
457,Harry Potter and the Deathly Hallows: Part 2,Emma Watson,87.0
458,Harry Potter and the Deathly Hallows: Part 2,Rupert Grint,87.0
459,Harry Potter and the Deathly Hallows: Part 2,Michael Gambon,87.0
460,Office Christmas Party,Jason Bateman,42.0
461,Office Christmas Party,Olivia Munn,42.0
462,Office Christmas Party,T.J. Miller,42.0
463,Office Christmas Party,Jennifer Aniston,42.0
464,The Neon Demon,Elle Fanning,51.0
465,The Neon Demon,Christina Hendricks,51.0
466,The Neon Demon,Keanu Reeves,51.0
467,The Neon Demon,Karl Glusman,51.0
468,Dangal,Aamir Khan,
469,Dangal,Sakshi Tanwar,
470,Dangal,Fatima Sana Shaikh,
471,Dangal,Sanya Malhotra,
472,10 Cloverfield Lane,John Goodman,76.0
473,10 Cloverfield Lane,Mary Elizabeth Winstead,76.0
474,10 Cloverfield Lane,John Gallagher Jr.,76.0
475,10 Cloverfield Lane,Douglas M. Griffin,76.0
476,Finding Dory,Ellen DeGeneres,77.0
477,Finding Dory,Albert Brooks,77.0
478,Finding Dory,Ed O'Neill,77.0
479,Finding Dory,Kaitlin Olson,77.0
480,Miss Peregrine's Home for Peculiar Children,Eva Green,57.0
481,Miss Peregrine's Home for Peculiar Children,Asa Butterfield,57.0
482,Miss Peregrine's Home for Peculiar Children,Samuel L. Jackson,57.0
483,Miss Peregrine's Home for Peculiar Children,Judi Dench,57.0
484,Divergent,Shailene Woodley,48.0
485,Divergent,Theo James,48.0
486,Divergent,Kate Winslet,48.0
487,Divergent,Jai Courtney,48.0
488,Mike and Dave Need Wedding Dates,Zac Efron,51.0
489,Mike and Dave Need Wedding Dates,Adam Devine,51.0
490,Mike and Dave Need Wedding Dates,Anna Kendrick,51.0
491,Mike and Dave Need Wedding Dates,Aubrey Plaza,51.0
492,Boyka: Undisputed IV,Scott Adkins,
493,Boyka: Undisputed IV,Teodora Duhovnikova,
494,Boyka: Undisputed IV,Alon Aboutboul,
495,Boyka: Undisputed IV,Julian Vergov,
496,The Dark Knight Rises,Christian Bale,78.0
497,The Dark Knight Rises,Tom Hardy,78.0
498,The Dark Knight Rises,Anne Hathaway,78.0
499,The Dark Knight Rises,Gary Oldman,78.0
500,The Jungle Book,Neel Sethi,77.0
501,The Jungle Book,Bill Murray,77.0
502,The Jungle Book,Ben Kingsley,77.0
503,The Jungle Book,Idris Elba,77.0
504,Transformers: Age of Extinction,Mark Wahlberg,32.0
505,Transformers: Age of Extinction,Nicola Peltz,32.0
506,Transformers: Age of Extinction,Jack Reynor,32.0
507,Transformers: Age of Extinction,Stanley Tucci,32.0
508,Nerve,Emma Roberts,58.0
509,Nerve,Dave Franco,58.0
510,Nerve,Emily Meade,58.0
511,Nerve,Miles Heizer,58.0
512,Mamma Mia!,Meryl Streep,51.0
513,Mamma Mia!,Pierce Brosnan,51.0
514,Mamma Mia!,Amanda Seyfried,51.0
515,Mamma Mia!,Stellan Skarsgård,51.0
516,The Revenant,Leonardo DiCaprio,76.0
517,The Revenant,Tom Hardy,76.0
518,The Revenant,Will Poulter,76.0
519,The Revenant,Domhnall Gleeson,76.0
520,Fences,Denzel Washington,79.0
521,Fences,Viola Davis,79.0
522,Fences,Stephen Henderson,79.0
523,Fences,Jovan Adepo,79.0
524,Into the Woods,Anna Kendrick,69.0
525,Into the Woods,Meryl Streep,69.0
526,Into the Woods,Chris Pine,69.0
527,Into the Woods,Emily Blunt,69.0
528,The Shallows,Blake Lively,59.0
529,The Shallows,Óscar Jaenada,59.0
530,The Shallows,Angelo Josue Lozano Corzo,59.0
531,The Shallows,Brett Cullen,59.0
532,Whiplash,Miles Teller,88.0
533,Whiplash,J.K. Simmons,88.0
534,Whiplash,Melissa Benoist,88.0
535,Whiplash,Paul Reiser,88.0
536,Furious 6,Vin Diesel,61.0
537,Furious 6,Paul Walker,61.0
538,Furious 6,Dwayne Johnson,61.0
539,Furious 6,Michelle Rodriguez,61.0
540,The Place Beyond the Pines,Ryan Gosling,68.0
541,The Place Beyond the Pines,Bradley Cooper,68.0
542,The Place Beyond the Pines,Eva Mendes,68.0
543,The Place Beyond the Pines,Craig Van Hook,68.0
544,No Country for Old Men,Tommy Lee Jones,91.0
545,No Country for Old Men,Javier Bardem,91.0
546,No Country for Old Men,Josh Brolin,91.0
547,No Country for Old Men,Woody Harrelson,91.0
548,The Great Gatsby,Leonardo DiCaprio,55.0
549,The Great Gatsby,Carey Mulligan,55.0
550,The Great Gatsby,Joel Edgerton,55.0
551,The Great Gatsby,Tobey Maguire,55.0
552,Shutter Island,Leonardo DiCaprio,63.0
553,Shutter Island,Emily Mortimer,63.0
554,Shutter Island,Mark Ruffalo,63.0
555,Shutter Island,Ben Kingsley,63.0
556,Brimstone,Dakota Fanning,44.0
557,Brimstone,Guy Pearce,44.0
558,Brimstone,Kit Harington,44.0
559,Brimstone,Carice van Houten,44.0
560,Star Trek,Chris Pine,82.0
561,Star Trek,Zachary Quinto,82.0
562,Star Trek,Simon Pegg,82.0
563,Star Trek,Leonard Nimoy,82.0
564,Diary of a Wimpy Kid,Zachary Gordon,56.0
565,Diary of a Wimpy Kid,Robert Capron,56.0
566,Diary of a Wimpy Kid,Rachael Harris,56.0
567,Diary of a Wimpy Kid,Steve Zahn,56.0
568,The Big Short,Christian Bale,81.0
569,The Big Short,Steve Carell,81.0
570,The Big Short,Ryan Gosling,81.0
571,The Big Short,Brad Pitt,81.0
572,Room,Brie Larson,86.0
573,Room,Jacob Tremblay,86.0
574,Room,Sean Bridgers,86.0
575,Room,Wendy Crewson,86.0
576,Django Unchained,Jamie Foxx,81.0
577,Django Unchained,Christoph Waltz,81.0
578,Django Unchained,Leonardo DiCaprio,81.0
579,Django Unchained,Kerry Washington,81.0
580,Ah-ga-ssi,Min-hee Kim,84.0
581,Ah-ga-ssi,Jung-woo Ha,84.0
582,Ah-ga-ssi,Jin-woong Jo,84.0
583,Ah-ga-ssi,So-ri Moon,84.0
584,The Edge of Seventeen,Hailee Steinfeld,77.0
585,The Edge of Seventeen,Haley Lu Richardson,77.0
586,The Edge of Seventeen,Blake Jenner,77.0
587,The Edge of Seventeen,Kyra Sedgwick,77.0
588,Watchmen,Jackie Earle Haley,56.0
589,Watchmen,Patrick Wilson,56.0
590,Watchmen,Carla Gugino,56.0
591,Watchmen,Malin Akerman,56.0
592,Superbad,Michael Cera,76.0
593,Superbad,Jonah Hill,76.0
594,Superbad,Christopher Mintz-Plasse,76.0
595,Superbad,Bill Hader,76.0
596,Inferno,Tom Hanks,42.0
597,Inferno,Felicity Jones,42.0
598,Inferno,Irrfan Khan,42.0
599,Inferno,Ben Foster,42.0
600,The BFG,Mark Rylance,66.0
601,The BFG,Ruby Barnhill,66.0
602,The BFG,Penelope Wilton,66.0
603,The BFG,Jemaine Clement,66.0
604,The Hunger Games,Jennifer Lawrence,68.0
605,The Hunger Games,Josh Hutcherson,68.0
606,The Hunger Games,Liam Hemsworth,68.0
607,The Hunger Games,Stanley Tucci,68.0
608,White Girl,Morgan Saylor,65.0
