,Title,Director,Metascore
237,The Disappointments Room,D.J. Caruso,31.0
238,The Grand Budapest Hotel,Wes Anderson,88.0
239,The Host,Andrew Niccol,35.0
240,Fury,David Ayer,64.0
241,Inside Out,Pete Docter,94.0
242,Rock Dog,Ash Brannon,48.0
243,Terminator Genisys,Alan Taylor,38.0
244,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,47.0
245,Les Misérables,Tom Hooper,63.0
246,Children of Men,Alfonso Cuarón,84.0
247,20th Century Women,Mike Mills,83.0
248,Spy,Paul Feig,75.0
249,The Intouchables,Olivier Nakache,57.0
250,Bonjour Anne,Eleanor Coppola,50.0
251,Kynodontas,Yorgos Lanthimos,73.0
252,Straight Outta Compton,F. Gary Gray,72.0
253,The Amazing Spider-Man 2,Marc Webb,53.0
254,The Conjuring,James Wan,68.0
255,The Hangover,Todd Phillips,73.0
256,Battleship,Peter Berg,41.0
257,Rise of the Planet of the Apes,Rupert Wyatt,68.0
258,Lights Out,David F. Sandberg,58.0
259,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,76.0
260,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,88.0
261,Black Swan,Darren Aronofsky,79.0
262,Dear White People,Justin Simien,79.0
263,Nymphomaniac: Vol. I,Lars von Trier,64.0
264,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,40.0
265,Knock Knock,Eli Roth,53.0
266,Dirty Grandpa,Dan Mazer,18.0
267,Cloud Atlas,Tom Tykwer,55.0
268,X-Men Origins: Wolverine,Gavin Hood,40.0
269,Satanic,Jeffrey G. Hunt,
270,Skyfall,Sam Mendes,81.0
271,The Hobbit: An Unexpected Journey,Peter Jackson,58.0
272,21 Jump Street,Phil Lord,69.0
273,Sing Street,John Carney,79.0
274,Ballerina,Eric Summer,
275,Oblivion,Joseph Kosinski,54.0
276,22 Jump Street,Phil Lord,71.0
277,Zodiac,David Fincher,78.0
278,Everybody Wants Some!!,Richard Linklater,83.0
279,Iron Man Three,Shane Black,62.0
280,Now You See Me,Louis Leterrier,50.0
281,Sherlock Holmes,Guy Ritchie,57.0
282,Death Proof,Quentin Tarantino,
283,The Danish Girl,Tom Hooper,66.0
284,Hercules,Brett Ratner,47.0
285,Sucker Punch,Zack Snyder,33.0
286,Keeping Up with the Joneses,Greg Mottola,34.0
287,Jupiter Ascending,Lana Wachowski,40.0
288,Masterminds,Jared Hess,47.0
289,Iris,Jalil Lespert,
290,Busanhaeng,Sang-ho Yeon,72.0
291,Pitch Perfect,Jason Moore,66.0
292,Neighbors 2: Sorority Rising,Nicholas Stoller,58.0
293,The Exception,David Leveaux,
294,Man of Steel,Zack Snyder,55.0
295,The Choice,Ross Katz,26.0
296,Ice Age: Collision Course,Mike Thurmeier,34.0
297,The Devil Wears Prada,David Frankel,62.0
298,The Infiltrator,Brad Furman,66.0
299,There Will Be Blood,Paul Thomas Anderson,92.0
300,The Equalizer,Antoine Fuqua,57.0
301,Lone Survivor,Peter Berg,60.0
302,The Cabin in the Woods,Drew Goddard,72.0
303,The House Bunny,Fred Wolf,55.0
304,She's Out of My League,Jim Field Smith,46.0
305,Inherent Vice,Paul Thomas Anderson,81.0
306,Alice Through the Looking Glass,James Bobin,34.0
307,Vincent N Roxxy,Gary Michael Schultz,
308,The Fast and the Furious: Tokyo Drift,Justin Lin,45.0
309,How to Be Single,Christian Ditter,51.0
310,The Blind Side,John Lee Hancock,53.0
311,La vie d'Adèle,Abdellatif Kechiche,88.0
312,The Babadook,Jennifer Kent,86.0
313,The Hobbit: The Battle of the Five Armies,Peter Jackson,59.0
314,Harry Potter and the Order of the Phoenix,David Yates,71.0
315,Snowpiercer,Bong Joon Ho,84.0
316,The 5th Wave,J Blakeson,33.0
317,The Stakelander,Dan Berk,
318,The Visit,M. Night Shyamalan,55.0
319,Fast Five,Justin Lin,66.0
320,Step Up,Anne Fletcher,48.0
321,Lovesong,So Yong Kim,74.0
322,RocknRolla,Guy Ritchie,53.0
323,In Time,Andrew Niccol,53.0
324,The Social Network,David Fincher,95.0
325,The Last Witch Hunter,Breck Eisner,34.0
326,Victor Frankenstein,Paul McGuigan,36.0
327,A Street Cat Named Bob,Roger Spottiswoode,54.0
328,Green Room,Jeremy Saulnier,79.0
329,Blackhat,Michael Mann,51.0
330,Storks,Nicholas Stoller,56.0
331,American Sniper,Clint Eastwood,72.0
332,Dallas Buyers Club,Jean-Marc Vallée,84.0
333,Lincoln,Steven Spielberg,86.0
334,Rush,Ron Howard,75.0
335,Before I Wake,Mike Flanagan,
336,Silver Linings Playbook,David O. Russell,81.0
337,Tracktown,Alexi Pappas,64.0
338,The Fault in Our Stars,Josh Boone,69.0
339,Blended,Frank Coraci,31.0
340,Fast & Furious,Justin Lin,46.0
341,Looper,Rian Johnson,84.0
342,White House Down,Roland Emmerich,52.0
343,Pete's Dragon,David Lowery,71.0
344,Spider-Man 3,Sam Raimi,59.0
345,The Three Musketeers,Paul W.S. Anderson,35.0
346,Stardust,Matthew Vaughn,66.0
347,American Hustle,David O. Russell,90.0
348,Jennifer's Body,Karyn Kusama,47.0
349,Midnight in Paris,Woody Allen,81.0
350,Lady Macbeth,William Oldroyd,83.0
351,Joy,David O. Russell,56.0
352,The Dressmaker,Jocelyn Moorhouse,47.0
353,Café Society,Woody Allen,64.0
354,Insurgent,Robert Schwentke,42.0
355,Seventh Son,Sergei Bodrov,30.0
356,Demain tout commence,Hugo Gélin,
357,The Theory of Everything,James Marsh,72.0
358,This Is the End,Evan Goldberg,67.0
359,About Time,Richard Curtis,55.0
360,Step Brothers,Adam McKay,51.0
361,Clown,Jon Watts,42.0
362,Star Trek Into Darkness,J.J. Abrams,72.0
363,Zombieland,Ruben Fleischer,73.0
364,"Hail, Caesar!",Ethan Coen,72.0
365,Slumdog Millionaire,Danny Boyle,86.0
366,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,52.0
367,American Wrestler: The Wizard,Alex Ranarivelo,
368,The Amazing Spider-Man,Marc Webb,66.0
369,Ben-Hur,Timur Bekmambetov,38.0
370,Sleight,J.D. Dillard,62.0
371,The Maze Runner,Wes Ball,57.0
372,Criminal,Ariel Vromen,36.0
373,Wanted,Timur Bekmambetov,64.0
374,Florence Foster Jenkins,Stephen Frears,71.0
375,Collide,Eran Creevy,33.0
376,Black Mass,Scott Cooper,68.0
377,Creed,Ryan Coogler,82.0
378,Swiss Army Man,Dan Kwan,64.0
379,The Expendables 3,Patrick Hughes,35.0
380,What We Do in the Shadows,Jemaine Clement,76.0
381,Southpaw,Antoine Fuqua,57.0
382,Hush,Mike Flanagan,67.0
383,Bridge of Spies,Steven Spielberg,81.0
384,The Lego Movie,Phil Lord,83.0
385,Everest,Baltasar Kormákur,64.0
386,Pixels,Chris Columbus,27.0
387,Robin Hood,Ridley Scott,53.0
388,The Wolverine,James Mangold,60.0
389,John Carter,Andrew Stanton,51.0
390,Keanu,Peter Atencio,63.0
391,The Gunman,Pierre Morel,39.0
392,Steve Jobs,Danny Boyle,82.0
393,Whisky Galore,Gillies MacKinnon,43.0
394,Grown Ups 2,Dennis Dugan,19.0
395,The Age of Adaline,Lee Toland Krieger,51.0
396,The Incredible Hulk,Louis Leterrier,61.0
397,Couples Retreat,Peter Billingsley,23.0
398,Absolutely Anything,Terry Jones,31.0
399,Magic Mike,Steven Soderbergh,72.0
400,Minions,Kyle Balda,56.0
401,The Black Room,Rolfe Kanefsky,71.0
402,Bronson,Nicolas Winding Refn,
403,Despicable Me,Pierre Coffin,72.0
404,The Best of Me,Michael Hoffman,29.0
405,The Invitation,Karyn Kusama,74.0
406,Zero Dark Thirty,Kathryn Bigelow,95.0
407,Tangled,Nathan Greno,71.0
408,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,65.0
409,Vacation,John Francis Daley,34.0
410,Taken,Pierre Morel,50.0
411,Pitch Perfect 2,Elizabeth Banks,63.0
412,Monsters University,Dan Scanlon,65.0
413,Elle,Paul Verhoeven,89.0
414,Mechanic: Resurrection,Dennis Gansel,38.0
415,Tusk,Kevin Smith,55.0
416,The Headhunter's Calling,Mark Williams,85.0
417,Atonement,Joe Wright,
418,Harry Potter and the Deathly Hallows: Part 1,David Yates,65.0
419,Shame,Steve McQueen,72.0
420,Hanna,Joe Wright,65.0
421,The Babysitters,David Ross,35.0
422,Pride and Prejudice and Zombies,Burr Steers,45.0
423,300: Rise of an Empire,Noam Murro,48.0
424,London Has Fallen,Babak Najafi,28.0
425,The Curious Case of Benjamin Button,David Fincher,70.0
426,Sin City: A Dame to Kill For,Frank Miller,46.0
427,The Bourne Ultimatum,Paul Greengrass,85.0
428,Srpski film,Srdjan Spasojevic,55.0
429,The Purge: Election Year,James DeMonaco,
430,3 Idiots,Rajkumar Hirani,67.0
431,Zoolander 2,Ben Stiller,34.0
432,World War Z,Marc Forster,63.0
433,Mission: Impossible - Ghost Protocol,Brad Bird,73.0
434,Let Me Make You a Martyr,Corey Asraf,56.0
435,Filth,Jon S. Baird,
436,The Longest Ride,George Tillman Jr.,33.0
437,The imposible,J.A. Bayona,73.0
438,Kick-Ass 2,Jeff Wadlow,41.0
439,Folk Hero & Funny Guy,Jeff Grace,63.0
440,Oz the Great and Powerful,Sam Raimi,44.0
441,Brooklyn,John Crowley,87.0
442,Coraline,Henry Selick,80.0
443,Blue Valentine,Derek Cianfrance,81.0
444,The Thinning,Michael J. Gallagher,31.0
445,Silent Hill,Christophe Gans,
446,Dredd,Pete Travis,59.0
447,Hunt for the Wilderpeople,Taika Waititi,81.0
448,Big Hero 6,Don Hall,74.0
449,Carrie,Kimberly Peirce,53.0
450,Iron Man 2,Jon Favreau,57.0
451,Demolition,Jean-Marc Vallée,49.0
452,Pandorum,Christian Alvart,28.0
453,Olympus Has Fallen,Antoine Fuqua,41.0
454,I Am Number Four,D.J. Caruso,36.0
455,Jagten,Thomas Vinterberg,76.0
456,The Proposal,Anne Fletcher,48.0
457,Get Hard,Etan Cohen,34.0
458,Just Go with It,Dennis Dugan,33.0
459,Revolutionary Road,Sam Mendes,69.0
460,The Town,Ben Affleck,74.0
461,The Boy,William Brent Bell,42.0
462,Denial,Mick Jackson,63.0
463,Predestination,Michael Spierig,69.0
464,Goosebumps,Rob Letterman,60.0
465,Sherlock Holmes: A Game of Shadows,Guy Ritchie,48.0
466,Salt,Phillip Noyce,65.0
467,Enemy,Denis Villeneuve,61.0
468,District 9,Neill Blomkamp,81.0
469,The Other Guys,Adam McKay,64.0
470,American Gangster,Ridley Scott,76.0
471,Marie Antoinette,Sofia Coppola,65.0
472,2012,Roland Emmerich,49.0
473,Harry Potter and the Half-Blood Prince,David Yates,78.0
474,Argo,Ben Affleck,86.0
475,Eddie the Eagle,Dexter Fletcher,54.0
476,The Lives of Others,Florian Henckel von Donnersmarck,89.0
477,Pet,Carles Torrens,48.0
478,Paint It Black,Amber Tamblyn,71.0
479,Macbeth,Justin Kurzel,71.0
480,Forgetting Sarah Marshall,Nicholas Stoller,67.0
481,The Giver,Phillip Noyce,47.0
482,Triple 9,John Hillcoat,52.0
483,Perfetti sconosciuti,Paolo Genovese,43.0
484,Angry Birds,Clay Kaytis,
485,Moonrise Kingdom,Wes Anderson,84.0
486,Hairspray,Adam Shankman,81.0
487,Safe Haven,Lasse Hallström,34.0
488,Focus,Glenn Ficarra,56.0
489,Ratatouille,Brad Bird,96.0
490,Stake Land,Jim Mickle,66.0
491,The Book of Eli,Albert Hughes,53.0
492,Cloverfield,Matt Reeves,64.0
493,Point Break,Ericson Core,34.0
494,Under the Skin,Jonathan Glazer,78.0
495,I Am Legend,Francis Lawrence,65.0
496,Men in Black 3,Barry Sonnenfeld,58.0
497,Super 8,J.J. Abrams,72.0
498,Law Abiding Citizen,F. Gary Gray,34.0
499,Up,Pete Docter,88.0
500,Maze Runner: The Scorch Trials,Wes Ball,43.0
501,Carol,Todd Haynes,95.0
502,Imperium,Daniel Ragussis,68.0
503,Youth,Paolo Sorrentino,64.0
504,Mr. Nobody,Jaco Van Dormael,63.0
505,City of Tiny Lights,Pete Travis,54.0
506,Savages,Oliver Stone,59.0
507,(500) Days of Summer,Marc Webb,76.0
508,Movie 43,Elizabeth Banks,18.0
509,Gravity,Alfonso Cuarón,96.0
510,The Boy in the Striped Pyjamas,Mark Herman,55.0
511,Shooter,Antoine Fuqua,53.0
512,The Happening,M. Night Shyamalan,34.0
513,Bone Tomahawk,S. Craig Zahler,72.0
514,Magic Mike XXL,Gregory Jacobs,60.0
515,Easy A,Will Gluck,72.0
516,Exodus: Gods and Kings,Ridley Scott,52.0
517,Chappie,Neill Blomkamp,41.0
518,The Hobbit: The Desolation of Smaug,Peter Jackson,66.0
519,Half of a Yellow Sun,Biyi Bandele,51.0
520,Anthropoid,Sean Ellis,59.0
521,The Counselor,Ridley Scott,48.0
522,Viking,Andrey Kravchuk,57.0
523,Whiskey Tango Foxtrot,Glenn Ficarra,
524,Trust,David Schwimmer,60.0
525,Birth of the Dragon,George Nolfi,61.0
526,Elysium,Neill Blomkamp,
527,The Green Inferno,Eli Roth,38.0
528,Godzilla,Gareth Edwards,62.0
529,The Bourne Legacy,Tony Gilroy,61.0
530,A Good Year,Ridley Scott,47.0
531,Friend Request,Simon Verhoeven,59.0
532,Deja Vu,Tony Scott,
533,Lucy,Luc Besson,61.0
534,A Quiet Passion,Terence Davies,77.0
535,Need for Speed,Scott Waugh,39.0
536,Jack Reacher,Christopher McQuarrie,50.0
537,The Do-Over,Steven Brill,22.0
538,True Crimes,Alexandros Avranas,43.0
539,American Pastoral,Ewan McGregor,
540,The Ghost Writer,Roman Polanski,77.0
541,Limitless,Neil Burger,59.0
542,Spectral,Nic Mathieu,39.0
543,P.S. I Love You,Richard LaGravenese,
544,Zipper,Mora Stephens,39.0
545,Midnight Special,Jeff Nichols,76.0
546,Don't Think Twice,Mike Birbiglia,83.0
547,Alice in Wonderland,Tim Burton,53.0
548,Chuck,Philippe Falardeau,68.0
549,"I, Daniel Blake",Ken Loach,77.0
550,The Break-Up,Peyton Reed,45.0
551,Loving,Jeff Nichols,79.0
552,Fantastic Four,Josh Trank,27.0
553,The Survivalist,Stephen Fingleton,80.0
554,Colonia,Florian Gallenberger,33.0
555,The Boy Next Door,Rob Cohen,30.0
556,The Gift,Joel Edgerton,77.0
557,Dracula Untold,Gary Shore,40.0
558,In the Heart of the Sea,Ron Howard,47.0
559,Idiocracy,Mike Judge,66.0
560,The Expendables,Sylvester Stallone,45.0
561,Evil Dead,Fede Alvarez,57.0
562,Sinister,Scott Derrickson,53.0
563,Wreck-It Ralph,Rich Moore,72.0
564,Snow White and the Huntsman,Rupert Sanders,57.0
565,Pan,Joe Wright,36.0
566,Transformers: Dark of the Moon,Michael Bay,42.0
567,Juno,Jason Reitman,81.0
568,A Hologram for the King,Tom Tykwer,58.0
569,Money Monster,Jodie Foster,55.0
570,The Other Woman,Nick Cassavetes,39.0
571,Enchanted,Kevin Lima,75.0
572,The Intern,Nancy Meyers,51.0
573,Little Miss Sunshine,Jonathan Dayton,80.0
574,Bleed for This,Ben Younger,62.0
575,Clash of the Titans,Louis Leterrier,39.0
576,The Finest Hours,Craig Gillespie,58.0
577,Tron,Joseph Kosinski,49.0
578,The Hunger Games: Catching Fire,Francis Lawrence,76.0
579,All Good Things,Andrew Jarecki,57.0
580,Kickboxer: Vengeance,John Stockwell,37.0
581,The Last Airbender,M. Night Shyamalan,20.0
582,Sex Tape,Jake Kasdan,36.0
583,What to Expect When You're Expecting,Kirk Jones,41.0
584,Moneyball,Bennett Miller,87.0
585,Ghost Rider,Mark Steven Johnson,35.0
586,Unbroken,Angelina Jolie,59.0
587,Immortals,Tarsem Singh,46.0
588,Sunshine,Danny Boyle,64.0
589,Brave,Mark Andrews,69.0
590,Män som hatar kvinnor,Niels Arden Oplev,76.0
591,Adoration,Anne Fontaine,37.0
592,The Drop,Michaël R. Roskam,69.0
593,She's the Man,Andy Fickman,45.0
594,Daddy's Home,Sean Anders,42.0
595,Let Me In,Matt Reeves,79.0
596,Never Back Down,Jeff Wadlow,39.0
597,Grimsby,Louis Leterrier,44.0
598,Moon,Duncan Jones,67.0
599,Megamind,Tom McGrath,63.0
600,Gangster Squad,Ruben Fleischer,40.0
601,Blood Father,Jean-François Richet,66.0
602,He's Just Not That Into You,Ken Kwapis,47.0
603,Kung Fu Panda 3,Alessandro Carloni,66.0
604,The Rise of the Krays,Zackary Adler,90.0
605,Handsome Devil,John Butler,
606,Winter's Bone,Debra Granik,
607,Horrible Bosses,Seth Gordon,57.0
608,Mommy,Xavier Dolan,74.0
609,Hellboy II: The Golden Army,Guillermo del Toro,78.0
610,Beautiful Creatures,Richard LaGravenese,52.0
611,Toni Erdmann,Maren Ade,93.0
612,The Lovely Bones,Peter Jackson,42.0
613,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,68.0
614,Don Jon,Joseph Gordon-Levitt,66.0
615,Bastille Day,James Watkins,48.0
616,2307: Winter's Dream,Joey Curtis,53.0
617,Free State of Jones,Gary Ross,
